gender,height,weight,age,color,occupation,race,hair,titan,loveHistoria,eyes,loyalty,humor,fighting,intelligence,willpower,execution,passion,coordination,rationality,isReiner
1,156,110,16,3,1,2,2,1,2,2,6,0,4,4,0,5,2,7,7,0
1,196,69,24,1,3,3,3,1,2,2,2,7,7,2,6,3,7,0,2,0
1,149,89,25,3,3,3,3,2,1,3,9,10,9,3,3,0,10,7,3,0
1,136,129,49,3,2,3,3,1,1,3,1,2,5,10,4,4,7,5,2,0
2,137,66,52,1,3,2,3,1,1,2,3,7,1,10,9,7,2,1,8,0
2,192,56,40,2,2,3,2,1,1,2,2,9,2,9,3,2,7,4,1,0
2,193,51,56,2,1,2,2,1,1,2,2,10,10,5,6,6,6,1,10,0
2,166,49,15,2,2,3,3,2,1,1,9,0,2,5,10,8,7,8,2,0
1,192,65,42,1,2,3,2,1,2,1,7,10,8,8,0,1,6,6,5,0
2,146,89,48,2,3,2,2,2,1,3,2,1,7,2,7,6,5,10,10,0
1,176,48,13,1,3,3,1,1,1,3,6,5,0,8,5,0,2,0,0,0
1,136,80,35,3,2,1,3,2,1,1,10,1,6,5,0,2,0,0,1,0
1,159,41,12,1,2,2,3,1,1,1,10,4,5,4,1,0,5,9,5,0
1,156,80,39,2,1,3,1,1,1,2,3,8,2,6,10,7,9,10,9,0
2,156,91,28,2,2,3,1,2,2,1,8,1,0,10,5,4,5,7,6,0
2,143,116,33,1,2,2,2,2,1,1,4,3,10,10,2,9,1,8,3,0
1,166,111,34,2,2,1,2,2,2,1,6,5,4,3,8,4,5,4,6,0
1,161,90,23,1,3,2,3,2,1,3,4,1,1,1,10,10,5,3,5,0
1,169,121,11,2,2,2,2,2,2,3,6,1,0,10,3,5,8,10,10,0
1,141,63,36,2,1,3,1,1,2,2,0,1,0,4,8,7,6,9,8,0
1,182,117,43,2,2,2,2,2,2,2,4,2,4,4,2,3,7,7,1,0
1,182,41,52,3,3,2,3,1,2,3,3,8,4,6,2,8,6,10,7,0
1,190,93,53,1,1,1,1,1,1,3,5,2,0,4,5,0,8,1,8,0
1,178,58,22,2,2,2,2,2,2,2,10,9,7,2,9,7,3,4,7,0
2,150,129,16,2,1,3,3,2,1,2,8,6,6,4,2,6,3,8,2,0
